term,counts
boris,204765
dies,204559
understand,204358
remember,204289
millions,204104
gon,203789
21,203394
on,203137
wait,203118
500,203064
la,203045
affected,203040
citizens,201828
idea,201815
press,201650
narendramodi,201562
families,201274
schools,201268
california,200856
quedateencasa,200769
40,200019
listen,199972
leaders,199764
japan,199512
potus,199286
you,199049
ask,198734
gets,198385
panic,198152
australia,197964
talk,197846
prevent,197803
mayor,197672
hear,197421
else,197049
administration,196541
is,196206
ça,196124
stupid,196058
party,196017
homes,195911
despite,195675
different,195504
kita,195220
started,194364
become,193936
web,193690
lab,193445
seems,193068
infections,192865
serious,192796
line,192689
aquí,192607
leave,192515
positivo,192407
instead,192390
vida,192288
thousands,191984
thread,191651
wants,191305
all,191298
años,190887
en,190871
set,190362
society,189996
democrats,189915
try,189821
60,189381
pra,189240
needed,188527
deal,188333
group,187831
employees,187792
pacientes,187731
wo,187653
ok,187469
tem,187232
problem,187013
anti,186093
able,186015
yg,185991
companies,185778
tv,185578
worst,185220
industry,185191
political,184855
lol,184453
petition,183103
primer,183083
means,183000
low,182913
talking,182308
vote,181805
dengan,181651
scientists,181644
epidemic,181589
based,181499
leadership,181447
provide,181270
threat,181141
taken,181004
rise,180446
outside,180401
sad,180082
mal,179611
contagio,179333
im,178554
aux,178497
reason,177926
morning,177575
behind,177447
power,177447
general,177390
increase,177351
ng,177169
hi,177000
venezuela,176991
hoax,176676
ready,176635
florida,176455
rest,176337
wow,176152
official,175929
probably,175716
office,175687
seriously,175454
deadly,174506
message,174303
sir,174301
cada,174095
helping,173598
given,173365
पर,173157
for,173005
nurses,172695
company,172446
efforts,172173
happy,172015
mejor,171771
contre,171716
name,171612
according,171594
fund,171265
members,171141
visit,171128
ils,170940
रह,170767
argentina,170627
dalam,170482
nyc,170303
00,170297
pneumonia,170266
fallecidos,169938
200,169932
almost,169529
front,169224
women,169123
dice,169102
facebook,168855
22,168483
ist,168463
lies,168329
past,168235
socialdistancing,167963
came,167445
confirmados,166964
issues,166702
concerns,166686
recovery,166641
hey,166571
blame,166560
staysafe,166335
vez,166324
black,165560
worldwide,165113
poor,165049
información,164872
financial,164852
interesting,164613
sense,164474
briefing,164258
80,164239
fox,164087
looks,163981
stock,163894
plans,163074
calls,162700
tan,162233
dangerous,161950
play,161587
buy,161552
living,161323
international,161011
contagios,160886
crise,160786
número,160519
resources,160492
avoid,160380
moment,160305
guys,160303
washington,160292
dari,160270
foxnews,160043
yesterday,159951
ke,159890
key,159790
comes,159666
stimulus,159624
cruise,159487
residents,159275
un,158803
demand,158631
coronavirusupdate,158533
23,158339
ont,158320
law,158316
dia,158164
claims,157951
vulnerable,157808
germany,157642
run,157582
san,157302
sono,157250
jobs,157217
evidence,157166
healthy,157117
list,157108
killed,156919
gates,156774
especially,156746
países,156556
guy,156525
vamos,155974
course,155776
hold,155696
happen,155653
zero,155548
casi,155388
ship,155368
indonesia,155251
calling,155171
google,154645
leader,154625
return,154621
que,154606
della,154454
den,154353
source,154256
giving,153972
vs,153746
following,153738
aid,153041
ang,152626
vai,152535
though,152393
spain,152361
mass,152294
tener,152144
reopen,152051
chief,152026
heart,151990
bring,151734
critical,151580
ways,151467
access,151315
history,151240
favor,150762
results,150733
billion,150339
woman,150183
warns,149848
single,149636
wear,149543
negative,149532
thinking,149470
area,149408
caused,149136
penyebaran,149097
bolsonaro,149056
nursing,148744
task,148734
move,148713
ppl,148552
issue,148099
mental,147448
mundial,147323
funding,147085
और,147009
reporting,146848
send,146833
noticias,146661
common,146608
millones,146498
ones,146373
27,146368
took,146217
higher,146079
congress,145961
goes,145837
bir,145794
26,145628
went,144907
cut,144706
pruebas,144705
70,144576
light,144531
inside,144320
sorry,144215
among,144041
tout,144002
28,143945
momento,143640
special,143301
finally,143097
level,143003
hell,142932
kits,142760
supplies,142538
head,142432
pa,142411
nytimes,142305
university,142193
parte,142191
wonder,142170
clear,142077
evitar,142051
infectados,142045
dont,141882
ny,141813
facts,141727
tiempo,141662
frente,141647
faire,141512
details,141494
fait,141347
cuomo,141309
immunity,141290
mit,141283
ao,141069
sent,141043
season,141015
kind,140901
announced,140858
center,140830
situación,140521
asked,140337
markets,140240
blood,140221
night,140122
age,140092
wuhanvirus,139821
major,139779
website,139675
body,139666
trust,139612
late,139402
masyarakat,138997
date,138984
biden,138884
horas,138574
orders,138535
immune,138448
huge,138151
lead,138057
03,137985
donate,137772
heard,137725
supply,137506
digital,137481
reuters,137327
damn,137224
russia,137126
expert,137037
comment,136960
être,136951
at,136847
borisjohnson,136843
nicht,136692
happening,136637
release,136533
friday,136451
takes,136429
bu,136336
virtual,136331
sector,136239
pakistan,136187
después,136066
knew,135928
imagine,135531
hate,135429
matter,135352
continues,135162
madrid,134971
up,134820
rules,134771
cover,134668
polri,134409
zu,134400
wash,134349
04,134238
cara,134191
emergencia,133990
viral,133676
causa,133534
treat,133526
mind,133036
cancelled,132742
pass,132696
entire,132691
policy,132624
médicos,132338
package,132298
parents,132206
stand,132174
obama,132165
er,131959
lack,131952
mata,131940
tips,131790
5g,131716
fall,131656
pmoindia,131425
towards,131372
indian,131327
spreads,131121
slow,131076
game,131072
já,130738
ada,130719
agree,130593
mr,130538
guess,130511
security,130422
ir,130145
that,130124
ass,130044
monday,130011
jesus,130005
politics,129908
election,129750
handling,129723
colombia,129704
met,129693
amazing,129532
half,129313
killing,129301
só,129279
ta,129067
31,129018
wish,128512
tomorrow,128385
